root@escobar:/zalert/temp/fuzz# ./ffuf -u http://FUZZ.monster.com -w sub_rand_3000000_11582871.txt -x http://192.168.189.130:8080 -of json -o monster-sub-fuzz.jser-log-3M.ffuf

        /'___\  /'___\           /'___\       
       /\ \__/ /\ \__/  __  __  /\ \__/       
       \ \ ,__\\ \ ,__\/\ \/\ \ \ \ ,__\      
        \ \ \_/ \ \ \_/\ \ \_\ \ \ \ \_/      
         \ \_\   \ \_\  \ \____/  \ \_\       
          \/_/    \/_/   \/___/    \/_/       

       v2.1.0
________________________________________________

 :: Method           : GET
 :: URL              : http://FUZZ.monster.com
 :: Wordlist         : FUZZ: /zalert/temp/fuzz/sub_rand_3000000_11582871.txt
 :: Output file      : monster-sub-fuzz.jser-log-3M.ffuf
 :: File format      : json
 :: Follow redirects : false
 :: Calibration      : false
 :: Proxy            : http://192.168.189.130:8080
 :: Timeout          : 10
 :: Threads          : 40
 :: Matcher          : Response status: 200-299,301,302,307,401,403,405,500
________________________________________________

littonbrakes-services.rj.r [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1734ms]
gtm-nw4xv7w-yzy0y.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1404ms]
gtm-5wsxq2s-mme4y.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 3631ms]
gtm-5htkccj-nju1n.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 4369ms]
hiring.daltondailycitizen [Status: 200, Size: 30897, Words: 4889, Lines: 657, Duration: 3898ms]
gtm-k4v7jns-mjziz.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 2074ms]
gtm-k23rzwr-mte4m.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1781ms]
gtm-p3wqbq5-ngjmy.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1737ms]
gtm-m2mbqt8b-ztvhy.uc.r [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1831ms]
gtm-mlz4rcs-ngzim.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1736ms]
gtm-kdtvhcl-zda3y.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1577ms]
gtm-nltgblf-ntmxz.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1766ms]
gtm-nw2fngd-yzlhm.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1732ms]
gtm-52gvdcp-zdlko.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 3162ms]
gtm-w6w2llt-ngnly.uc.r  [Status: 200, Size: 135687, Words: 4894, Lines: 532, Duration: 1812ms]
